datacenter_id;datacenter_name;id;type;role;bandwidth;total_used_bandwidth;traffic_history;ports;duration;power_per_port;low_power;high_power;is_active;
0;Datacenter_1;16;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;465,True,116,16,1000,4000.0:64,True,16,64,1000,1000.0:65,True,16,65,1000,1000.0:66,True,16,66,1000,1000.0:67,True,16,67,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;17;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;466,True,116,17,1000,4000.0:68,True,17,68,1000,1000.0:69,True,17,69,1000,1000.0:70,True,17,70,1000,1000.0:71,True,17,71,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;18;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;467,True,116,18,1000,4000.0:72,True,18,72,1000,1000.0:73,True,18,73,1000,1000.0:74,True,18,74,1000,1000.0:75,True,18,75,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;19;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;468,True,117,19,1000,4000.0:76,True,19,76,1000,1000.0:77,True,19,77,1000,1000.0:78,True,19,78,1000,1000.0:79,True,19,79,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;20;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;469,True,117,20,1000,4000.0:80,True,20,80,1000,1000.0:81,True,20,81,1000,1000.0:82,True,20,82,1000,1000.0:83,True,20,83,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;21;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;470,True,117,21,1000,4000.0:84,True,21,84,1000,1000.0:85,True,21,85,1000,1000.0:86,True,21,86,1000,1000.0:87,True,21,87,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;22;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;471,True,117,22,1000,4000.0:88,True,22,88,1000,1000.0:89,True,22,89,1000,1000.0:90,True,22,90,1000,1000.0:91,True,22,91,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;23;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;472,True,117,23,1000,4000.0:92,True,23,92,1000,1000.0:93,True,23,93,1000,1000.0:94,True,23,94,1000,1000.0:95,True,23,95,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;24;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;473,True,118,24,1000,4000.0:96,True,24,96,1000,1000.0:97,True,24,97,1000,1000.0:98,True,24,98,1000,1000.0:99,True,24,99,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;25;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;474,True,118,25,1000,4000.0:100,True,25,100,1000,1000.0:101,True,25,101,1000,1000.0:102,True,25,102,1000,1000.0:103,True,25,103,1000,1000.0:;449.0;15.4;70;71;True;
