datacenter_id;datacenter_storage_energy;storage_id;system;storage_capacity;capacity_used;inactive_duration;idle_intervals;total_energy_active;total_energy_idle;average_rotation_latency;average_seek_Time;max_internal_data_transfer_rate;idle_power;active_power;
3;73600.48252767278;34;storage;900000.0;19968.0;100.90123745154811;1.000004936758291:;585.227177218979;3.000014810274873;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;35;storage;900000.0;25088.0;126.76875706430329;1.0000050909385811:;735.2587909729591;3.0000152728157436;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;36;storage;900000.0;40960.0;206.9273459002436;1.0000052793719305:;1200.178606221413;3.0000158381157913;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;37;storage;900000.0;14848.0;95.7455359818515;1.0000052932793357:;555.3241086947387;3.000015879838007;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;38;storage;900000.0;20480.0;113.83901904181153;1.0000053512467766:;660.2663104425068;3.00001605374033;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;39;storage;900000.0;18944.0;111.24940102753203;1.0000053854810367:;645.2465259596859;3.00001615644311;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;40;storage;900000.0;17408.0;106.08775954576834;1.0000054699900396:;615.3090053654562;3.0000164099701188;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;41;storage;900000.0;29184.0;147.44597332647038;1.0000054829635943:;855.1866452935283;3.000016448890783;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;42;storage;900000.0;27136.0;137.10855874254568;1.0000054990577947:;795.2296407067649;3.000016497173384;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;43;storage;900000.0;30208.0;168.16210271467958;1.0000056914909934:;975.3401957451417;3.0000170744729804;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;44;storage;900000.0;20992.0;106.07973675067889;1.0000057134515274:;615.2624731539374;3.0000171403545823;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;45;storage;900000.0;27136.0;142.28374372513292;1.0000057243224734:;825.2457136057708;3.00001717296742;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;46;storage;900000.0;20480.0;103.48715955018757;1.0000058752890797:;600.2255253910879;3.000017625867239;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;47;storage;900000.0;17408.0;93.14987836248642;1.0000059732335964:;540.2692945024213;3.000017919700789;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;48;storage;900000.0;20992.0;152.63784765609654;1.0000059964781087:;885.2995164053598;3.000017989434326;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;49;storage;900000.0;19456.0;98.32610295493372;1.0000060397262622:;570.2913971386156;3.0000181191787867;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;50;storage;900000.0;18944.0;95.73117929994385;1.0000060659096464:;555.2408399396744;3.000018197728939;0.003;0.004;198.0;3.0;5.8;
